instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,5.044272,1.0000,1.0000e-03,3.1125e-30,29.2,11.1,40.3,,2026-05-06T15:58:26.746959+00:00
1,0,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,48.501675,1.0000,1.0000e-03,3.1125e-30,27.1,11.0,38.2,,2026-05-06T15:59:37.063139+00:00
2,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.777421,1.0000,1.0000e-03,3.1125e-30,26.4,11.0,37.4,,2026-05-06T16:00:47.546697+00:00
3,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_4.vnnlib,sat,amls_bounded,UNKNOWN,3.840337,0.9995,1.0000e+00,1.0000e+00,25.3,0.0,25.4,,2026-05-06T16:01:33.755042+00:00
4,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,3.702073,0.9995,1.0000e-03,3.1125e-30,25.2,12.4,37.6,,2026-05-06T16:02:33.185502+00:00
5,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,4.024890,0.9995,1.0000e-03,3.1125e-30,27.8,11.1,38.9,,2026-05-06T16:03:48.940047+00:00
6,0,ACASXU_run2a_5_7_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,8.686570,1.0000,1.2430e-01,1.2342e-01,25.8,0.0,25.8,,2026-05-06T16:04:35.894228+00:00
7,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,unsat,amls_bounded,UNKNOWN,10.324744,1.0000,1.4449e-02,1.3462e-02,26.4,0.0,26.4,,2026-05-06T16:05:12.240556+00:00
8,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.285484,1.0000,1.0000e-03,3.1125e-30,27.1,11.2,38.2,,2026-05-06T16:06:12.526563+00:00
9,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,sat,amls_bounded,UNKNOWN,4.384354,1.0000,1.0000e+00,1.0000e+00,24.7,0.0,24.7,,2026-05-06T16:06:58.358676+00:00
10,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,10.990327,1.0000,1.0000e-03,3.1125e-30,24.7,11.1,35.7,,2026-05-06T16:07:55.956092+00:00
11,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,4.004837,0.9990,1.0000e-03,3.1125e-30,25.4,11.2,36.6,,2026-05-06T16:09:05.746722+00:00
12,0,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,8.699628,0.9995,1.0000e-03,3.1125e-30,26.8,11.2,38.0,,2026-05-06T16:10:15.916359+00:00
13,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,4.591505,1.0000,1.0000e-03,3.1125e-30,25.8,11.2,36.9,,2026-05-06T16:11:25.959799+00:00
14,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_4.vnnlib,unsat,amls_bounded,UNSAT,4.544908,0.9995,1.0000e-03,3.1125e-30,26.6,11.1,37.6,,2026-05-06T16:12:36.638285+00:00
15,0,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,4.628134,1.0000,1.0000e-03,3.1125e-30,26.5,11.1,37.6,,2026-05-06T16:13:46.229160+00:00
16,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,15.169104,1.0000,1.0000e-03,3.1125e-30,26.4,15.1,41.4,,2026-05-06T16:15:05.109328+00:00
17,0,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,amls_bounded,UNSAT,5.455412,0.9995,1.0000e-03,3.1125e-30,25.5,15.0,40.4,,2026-05-06T16:16:27.950923+00:00
18,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,sat,amls_bounded,UNKNOWN,11.257613,1.0000,7.4033e-02,7.3106e-02,28.1,0.1,28.2,,2026-05-06T16:17:23.314810+00:00
19,0,ACASXU_run2a_4_7_batch_2000.onnx,prop_3.vnnlib,unsat,amls_bounded,UNSAT,3.984258,1.0000,1.0000e-03,3.1125e-30,27.8,15.0,42.8,,2026-05-06T16:18:34.392422+00:00
