experiment,benchmark,idx,onnx_file,vnnlib_file,n_restarts,n_steps,sat_found,wall_s
exp1,acasxu_2023,46,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,3,25,0,0.42
exp1,acasxu_2023,46,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,5,50,0,0.71
exp1,acasxu_2023,46,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,10,100,0,2.87
exp1,acasxu_2023,46,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,20,200,0,10.11
exp1,acasxu_2023,47,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,3,25,0,0.19
exp1,acasxu_2023,47,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,5,50,0,0.67
exp1,acasxu_2023,47,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,10,100,0,3.11
exp1,acasxu_2023,47,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,20,200,0,11.85
exp1,acasxu_2023,48,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,3,25,0,0.28
exp1,acasxu_2023,48,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,5,50,0,0.97
exp1,acasxu_2023,48,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,10,100,0,3.95
exp1,acasxu_2023,48,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,20,200,0,15.00
exp1,collins_rul_cnn_2022,0,NN_rul_small_window_20.onnx,robustness_2perturbations_delta5_epsilon10_w20.vnnlib,3,25,1,0.21
exp1,collins_rul_cnn_2022,4,NN_rul_small_window_20.onnx,robustness_4perturbations_delta5_epsilon10_w20.vnnlib,3,25,1,0.00
exp1,collins_rul_cnn_2022,5,NN_rul_small_window_20.onnx,robustness_4perturbations_delta10_epsilon10_w20.vnnlib,3,25,1,0.00
exp1,dist_shift_2023,15,mnist_concat.onnx,index4739_delta0.13.vnnlib,3,25,1,0.08
exp1,dist_shift_2023,20,mnist_concat.onnx,index1282_delta0.13.vnnlib,3,25,1,0.02
exp1,dist_shift_2023,23,mnist_concat.onnx,index1285_delta0.13.vnnlib,3,25,0,0.30
exp1,dist_shift_2023,23,mnist_concat.onnx,index1285_delta0.13.vnnlib,5,50,1,0.85
exp1,linearizenn_2024,0,AllInOne_10_10.onnx,prop_10_10.vnnlib,3,25,1,0.39
exp1,tllverify_2023,3,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,3,25,1,0.00
exp1,tllverify_2023,5,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,3,25,1,0.00
exp1,tllverify_2023,10,tllBench_n=2_N=M=24_m=1_instance_2_2.onnx,property_N=24_2.vnnlib,3,25,1,0.05
exp1,malbeware,21,malware_malimg_family_scaled_linear-25.onnx,malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-100.vnnlib,3,25,1,0.00
exp1,malbeware,56,malware_malimg_family_scaled_4-25.onnx,malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.vnnlib,3,25,1,0.14
exp1,malbeware,59,malware_malimg_family_scaled_4-25.onnx,malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.vnnlib,3,25,1,0.02
exp1,metaroom_2023,14,6cnn_ry_93_15_no_custom_OP.onnx,spec_idx_148_eps_0.00000436.vnnlib,3,25,0,0.35
exp1,metaroom_2023,14,6cnn_ry_93_15_no_custom_OP.onnx,spec_idx_148_eps_0.00000436.vnnlib,5,50,0,1.17
exp1,metaroom_2023,14,6cnn_ry_93_15_no_custom_OP.onnx,spec_idx_148_eps_0.00000436.vnnlib,10,100,0,5.29
exp1,metaroom_2023,14,6cnn_ry_93_15_no_custom_OP.onnx,spec_idx_148_eps_0.00000436.vnnlib,20,200,0,34.29
exp1,metaroom_2023,26,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,3,25,0,0.39
exp1,metaroom_2023,26,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,5,50,0,1.97
exp1,metaroom_2023,26,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,10,100,0,8.54
exp1,metaroom_2023,26,6cnn_ry_57_9_no_custom_OP.onnx,spec_idx_129_eps_0.00000436.vnnlib,20,200,0,34.26
exp1,metaroom_2023,35,4cnn_ry_99_16_no_custom_OP.onnx,spec_idx_43_eps_0.00000436.vnnlib,3,25,1,0.05
exp2,tinyimagenet_2024,1,TinyImageNet_resnet_medium.onnx,TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.vnnlib,3,25,1,0.25
exp2,tinyimagenet_2024,3,TinyImageNet_resnet_medium.onnx,TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.vnnlib,3,25,1,0.20
exp2,tinyimagenet_2024,6,TinyImageNet_resnet_medium.onnx,TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.vnnlib,3,25,1,0.03
exp2,cifar100_2024,2,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib,3,25,1,0.37
exp2,cifar100_2024,11,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,3,25,0,1.78
exp2,cifar100_2024,11,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,5,50,0,5.94
exp2,cifar100_2024,11,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,10,100,0,23.82
exp2,cifar100_2024,11,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,20,200,0,95.73
exp2,cifar100_2024,26,CIFAR100_resnet_medium.onnx,CIFAR100_resnet_medium_prop_idx_6573_sidx_5525_eps_0.0039.vnnlib,3,25,1,0.09
